person_id,crash_id,road_user,gender,age,age_group,load_ts
2197,20221132,Passenger,Male,32,26_to_39,2025-05-06T08:22:34
2198,20221094,Driver,Male,29,26_to_39,2025-05-06T08:22:34
2199,20221094,Passenger,Female,63,40_to_64,2025-05-06T08:22:34
2200,20222021,Motorcycle rider,Male,33,26_to_39,2025-05-06T08:22:34
2201,20223209,Driver,Male,69,65_to_74,2025-05-06T08:22:34
2202,20221195,Pedestrian,Male,80,75_or_older,2025-05-06T08:22:34
2203,20221026,Pedestrian,Female,83,75_or_older,2025-05-06T08:22:34
2204,20221192,Driver,Male,26,26_to_39,2025-05-06T08:22:34
2205,20222073,Motorcycle rider,Male,21,17_to_25,2025-05-06T08:22:34
2206,20221163,Pedestrian,Male,32,26_to_39,2025-05-06T08:22:34
2207,20223016,Pedestrian,Male,37,26_to_39,2025-05-06T08:22:34
2208,20222204,Pedestrian,Female,76,75_or_older,2025-05-06T08:22:34
2209,20224007,Driver,Female,18,17_to_25,2025-05-06T08:22:34
2210,20223249,Passenger,Male,49,40_to_64,2025-05-06T08:22:34
2211,20226006,Motorcycle rider,Male,26,26_to_39,2025-05-06T08:22:34
2212,20221126,Pedestrian,Male,57,40_to_64,2025-05-06T08:22:34
2213,20221107,Driver,Male,48,40_to_64,2025-05-06T08:22:34
2214,20223226,Motorcycle rider,Male,59,40_to_64,2025-05-06T08:22:34
2215,20223002,Driver,Male,29,26_to_39,2025-05-06T08:22:34
2216,20222191,Driver,Male,56,40_to_64,2025-05-06T08:22:34
2217,20221097,Pedestrian,Female,85,75_or_older,2025-05-06T08:22:34
2218,20223214,Driver,Male,60,40_to_64,2025-05-06T08:22:34
2219,20222040,Driver,Female,42,40_to_64,2025-05-06T08:22:34
2220,20223075,Driver,Female,30,26_to_39,2025-05-06T08:22:34
2221,20223073,Motorcycle rider,Male,19,17_to_25,2025-05-06T08:22:34
2222,20221210,Driver,Male,46,40_to_64,2025-05-06T08:22:34
2223,20221210,Passenger,Male,14,0_to_16,2025-05-06T08:22:34
2224,20222037,Pedestrian,Female,66,65_to_74,2025-05-06T08:22:34
2225,20224061,Motorcycle rider,Male,21,17_to_25,2025-05-06T08:22:34
2226,20222184,Driver,Female,74,65_to_74,2025-05-06T08:22:34
2227,20223139,Driver,Male,18,17_to_25,2025-05-06T08:22:34
2228,20221180,Motorcycle rider,Male,54,40_to_64,2025-05-06T08:22:34
2229,20224041,Pedestrian,Male,21,17_to_25,2025-05-06T08:22:34
2230,20222190,Pedestrian,Male,30,26_to_39,2025-05-06T08:22:34
2231,20222101,Pedestrian,Male,38,26_to_39,2025-05-06T08:22:34
2232,20227025,Pedestrian,Female,39,26_to_39,2025-05-06T08:22:34
2233,20221067,Passenger,Male,17,17_to_25,2025-05-06T08:22:34
2234,20223034,Driver,Male,52,40_to_64,2025-05-06T08:22:34
2235,20222006,Pedal cyclist,Male,56,40_to_64,2025-05-06T08:22:34
2236,20221190,Motorcycle rider,Male,48,40_to_64,2025-05-06T08:22:34
2237,20222104,Motorcycle rider,Male,22,17_to_25,2025-05-06T08:22:34
2238,20221106,Passenger,Male,39,26_to_39,2025-05-06T08:22:34
2239,20223068,Motorcycle rider,Male,15,0_to_16,2025-05-06T08:22:34
2240,20221250,Driver,Female,80,75_or_older,2025-05-06T08:22:34
2241,20221141,Motorcycle rider,Male,64,40_to_64,2025-05-06T08:22:34
2242,20226026,Driver,Male,44,40_to_64,2025-05-06T08:22:34
2243,20221162,Driver,Female,22,17_to_25,2025-05-06T08:22:34
2244,20222120,Driver,Female,18,17_to_25,2025-05-06T08:22:34
2245,20223217,Motorcycle rider,Male,28,26_to_39,2025-05-06T08:22:34
2246,20222014,Driver,Male,28,26_to_39,2025-05-06T08:22:34
2247,20222109,Motorcycle rider,Male,27,26_to_39,2025-05-06T08:22:34
2248,20222166,Motorcycle rider,Male,28,26_to_39,2025-05-06T08:22:34
2249,20222131,Pedal cyclist,Male,71,65_to_74,2025-05-06T08:22:34
2250,20223154,Passenger,Male,11,0_to_16,2025-05-06T08:22:34
2251,20222225,Motorcycle rider,Male,23,17_to_25,2025-05-06T08:22:34
2252,20221174,Driver,Male,47,40_to_64,2025-05-06T08:22:34
2253,20224036,Driver,Female,79,75_or_older,2025-05-06T08:22:34
2254,20223031,Motorcycle rider,Male,32,26_to_39,2025-05-06T08:22:34
2255,20223221,Motorcycle rider,Male,25,17_to_25,2025-05-06T08:22:34
2256,20221140,Driver,Female,94,75_or_older,2025-05-06T08:22:34
2257,20222169,Pedestrian,Male,13,0_to_16,2025-05-06T08:22:34
